ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
NLGN2,-0.31333417248716744,3.9545317489439245,-0.9914710757416855,0.3297818203607338,0.9972652206254287,-5.259824076260554
ICE1,-0.2748335748098789,5.430673529309887,-1.119940581247408,0.27046206654563876,0.9972652206254287,-5.260087174123474
ARFRP1,-0.2934744823255029,4.624017937178679,-1.1198667340703683,0.2704931031924902,0.9972652206254287,-5.260162261032404
TBRG4,-0.312362835462622,6.463620432620055,-1.1186998228564191,0.2709838734460124,0.9972652206254287,-5.261348154773813
CYP2R1,-0.3356707810065336,4.117036208094097,-0.9900988677119935,0.3299008090349892,0.9972652206254287,-5.261477013729335
MAP1A,-0.461593351882045,5.708796513064565,-1.1184550266121722,0.2710869086781137,0.9972652206254287,-5.2615967882190144
GLIPR1L2,0.30174823086642766,4.131235018334816,0.9074251576662277,0.37377330984429524,0.9972652206254287,-5.261676408000273
MCM2,-0.2813284008126251,4.005248810447104,-0.9880847094204376,0.3311305153070331,0.9972652206254287,-5.263032565140617
MT-ATP6,-0.26488612436157943,14.386363806706662,-1.1166289136910041,0.2718564074355642,0.9972652206254287,-5.263449938724022
SURF6,-0.3313331575471281,4.569993749913997,-1.0769634399808299,0.28917760920628127,0.9972652206254287,-5.263799424467152
